exchange,coin,symbol,timestamp,best_bid,best_ask,mid_price,spread_bps
Hyperliquid,ETH,,2026-06-01T18:49:59.086920+00:00,1991.4,1991.5,1991.45,0.5021466770439079
Orderly,,PERP_ETH_USDC,2026-06-01T18:49:59.671017+00:00,1990.25,1990.26,1990.255,0.0502448178750507
Hyperliquid,ETH,,2026-06-01T18:50:59.235523+00:00,1992.4,1992.5,1992.45,0.5018946523120231
Orderly,,PERP_ETH_USDC,2026-06-01T18:50:59.564466+00:00,1991.14,1991.15,1991.145,0.05022235949662584
Hyperliquid,ETH,,2026-06-01T18:51:59.381281+00:00,1992.7,1992.8,1992.75,0.5018190942160786
Orderly,,PERP_ETH_USDC,2026-06-01T18:51:59.715887+00:00,1991.25,1991.26,1991.255,0.05021958513596151
Hyperliquid,ETH,,2026-06-01T18:52:59.525794+00:00,1993.3,1993.4,1993.35,0.5016680462544783
Orderly,,PERP_ETH_USDC,2026-06-01T18:53:00.247286+00:00,1991.75,1991.86,1991.8049999999998,0.5522628972208623
Hyperliquid,ETH,,2026-06-01T18:53:59.660912+00:00,1995.2,1995.3,1995.25,0.5011903270262326
Orderly,,PERP_ETH_USDC,2026-06-01T18:54:00.044619+00:00,1993.65,1993.66,1993.6550000000002,0.05015912983936992
Hyperliquid,ETH,,2026-06-01T18:54:59.787547+00:00,1994.7,1994.8,1994.75,0.5013159543797923
Orderly,,PERP_ETH_USDC,2026-06-01T18:55:00.128734+00:00,1993.37,1993.38,1993.375,0.05016617545729368
Hyperliquid,ETH,,2026-06-01T18:55:59.839248+00:00,1993.7,1993.8,1993.75,0.501567398118666
Orderly,,PERP_ETH_USDC,2026-06-01T18:56:00.418136+00:00,1992.58,1992.59,1992.585,0.050186064835331515
Hyperliquid,ETH,,2026-06-01T18:56:59.989307+00:00,1993.9,1994.0,1993.95,0.5015170891943582
Orderly,,PERP_ETH_USDC,2026-06-01T18:57:00.385709+00:00,1992.64,1992.65,1992.645,0.050184553696172196
Hyperliquid,ETH,,2026-06-01T18:58:00.140253+00:00,1992.8,1992.9,1992.85,0.5017939132405169
Orderly,,PERP_ETH_USDC,2026-06-01T18:58:00.765944+00:00,1991.45,1991.46,1991.455,0.050214541629064705
Hyperliquid,ETH,,2026-06-01T18:59:00.290512+00:00,1993.0,1993.1,1993.05,0.5017435588666067
Orderly,,PERP_ETH_USDC,2026-06-01T18:59:01.044853+00:00,1991.57,1991.58,1991.5749999999998,0.0502115160111515
Hyperliquid,ETH,,2026-06-01T19:00:00.430278+00:00,1992.5,1992.6,1992.55,0.5018694637520216
Orderly,,PERP_ETH_USDC,2026-06-01T19:00:00.774123+00:00,1991.32,1991.33,1991.3249999999998,0.050217819793308
Hyperliquid,ETH,,2026-06-01T19:01:00.474862+00:00,1992.2,1992.3,1992.25,0.50194503701799
Orderly,,PERP_ETH_USDC,2026-06-01T19:01:00.911813+00:00,1991.07,1991.08,1991.0749999999998,0.05022412515847422
Hyperliquid,ETH,,2026-06-01T19:02:00.625806+00:00,1992.5,1992.6,1992.55,0.5018694637520216
Orderly,,PERP_ETH_USDC,2026-06-01T19:02:00.953371+00:00,1991.28,1991.29,1991.2849999999999,0.05021882854534085
Hyperliquid,ETH,,2026-06-01T19:03:00.775045+00:00,1992.6,1992.7,1992.65,0.5018442777213079
Orderly,,PERP_ETH_USDC,2026-06-01T19:03:01.155462+00:00,1991.25,1991.26,1991.255,0.05021958513596151
Hyperliquid,ETH,,2026-06-01T19:04:00.915286+00:00,1992.2,1992.3,1992.25,0.50194503701799
Orderly,,PERP_ETH_USDC,2026-06-01T19:04:01.387563+00:00,1990.98,1990.99,1990.9850000000001,0.050226395477569664
Hyperliquid,ETH,,2026-06-01T19:05:01.065730+00:00,1992.1,1992.2,1992.15,0.5019702331658581
Orderly,,PERP_ETH_USDC,2026-06-01T19:05:01.407885+00:00,1990.94,1990.95,1990.9450000000002,0.050227404574164046
Hyperliquid,ETH,,2026-06-01T19:06:01.080652+00:00,1992.4,1992.5,1992.45,0.5018946523120231
Orderly,,PERP_ETH_USDC,2026-06-01T19:06:01.445483+00:00,1991.51,1991.52,1991.5149999999999,0.050213028774530474
Hyperliquid,ETH,,2026-06-01T19:07:01.126533+00:00,1993.1,1993.2,1993.15,0.50171838547092
Orderly,,PERP_ETH_USDC,2026-06-01T19:07:01.482965+00:00,1991.82,1991.83,1991.8249999999998,0.05020521381140867
Hyperliquid,ETH,,2026-06-01T19:08:01.272403+00:00,1993.2,1993.3,1993.25,0.5016932145988162
Orderly,,PERP_ETH_USDC,2026-06-01T19:08:01.876481+00:00,1992.02,1992.03,1992.025,0.05020017319055185
Hyperliquid,ETH,,2026-06-01T19:09:01.334136+00:00,1992.7,1992.8,1992.75,0.5018190942160786
Orderly,,PERP_ETH_USDC,2026-06-01T19:09:01.672854+00:00,1991.67,1991.68,1991.6750000000002,0.05020899494139809
Hyperliquid,ETH,,2026-06-01T19:10:01.480811+00:00,1993.6,1993.7,1993.65,0.5015925563671477
Orderly,,PERP_ETH_USDC,2026-06-01T19:10:01.882832+00:00,1992.32,1992.33,1992.3249999999998,0.050192614156781175
Hyperliquid,ETH,,2026-06-01T19:11:01.625536+00:00,1993.3,1993.4,1993.35,0.5016680462544783
Orderly,,PERP_ETH_USDC,2026-06-01T19:11:02.185316+00:00,1991.91,1991.92,1991.915,0.05020294540676136
Hyperliquid,ETH,,2026-06-01T19:12:01.762089+00:00,1993.0,1993.1,1993.05,0.5017435588666067
Orderly,,PERP_ETH_USDC,2026-06-01T19:12:02.255513+00:00,1991.69,1991.7,1991.6950000000002,0.05020849075782639
Hyperliquid,ETH,,2026-06-01T19:13:01.846579+00:00,1993.8,1993.9,1993.85,0.50154224239605
Orderly,,PERP_ETH_USDC,2026-06-01T19:13:02.240238+00:00,1992.66,1992.67,1992.665,0.05018405000334178
Hyperliquid,ETH,,2026-06-01T19:14:01.946997+00:00,1994.1,1994.2,1994.15,0.5014667903624924
Orderly,,PERP_ETH_USDC,2026-06-01T19:14:02.306349+00:00,1992.87,1992.88,1992.875,0.05017876184014692
Hyperliquid,ETH,,2026-06-01T19:15:01.990541+00:00,1994.6,1994.7,1994.65,0.5013410874095025
Orderly,,PERP_ETH_USDC,2026-06-01T19:15:02.372539+00:00,1993.39,1993.4,1993.395,0.05016567213217102
Hyperliquid,ETH,,2026-06-01T19:16:02.127516+00:00,1993.3,1993.4,1993.35,0.5016680462544783
Orderly,,PERP_ETH_USDC,2026-06-01T19:16:02.744068+00:00,1991.86,1991.87,1991.8649999999998,0.05020420560625798
Hyperliquid,ETH,,2026-06-01T19:17:02.276165+00:00,1993.5,1993.6,1993.55,0.5016177171373131
Orderly,,PERP_ETH_USDC,2026-06-01T19:17:02.646327+00:00,1992.43,1992.44,1992.435,0.05018984308140996
Hyperliquid,ETH,,2026-06-01T19:18:02.365659+00:00,1992.0,1992.1,1992.05,0.5019954318411137
Orderly,,PERP_ETH_USDC,2026-06-01T19:18:02.982644+00:00,1990.87,1990.88,1990.875,0.05022917059191701
Hyperliquid,ETH,,2026-06-01T19:19:02.516607+00:00,1992.5,1992.6,1992.55,0.5018694637520216
Orderly,,PERP_ETH_USDC,2026-06-01T19:19:03.156497+00:00,1991.29,1991.3,1991.295,0.05021857635353328
Hyperliquid,ETH,,2026-06-01T19:20:02.633940+00:00,1994.0,1994.2,1994.1,1.0029587282485606
Orderly,,PERP_ETH_USDC,2026-06-01T19:20:03.123954+00:00,1992.92,1992.93,1992.9250000000002,0.05017750291652172
Hyperliquid,ETH,,2026-06-01T19:21:02.766931+00:00,1993.9,1994.0,1993.95,0.5015170891943582
Orderly,,PERP_ETH_USDC,2026-06-01T19:21:03.111629+00:00,1992.99,1993.0,1992.995,0.05017574053116493
Hyperliquid,ETH,,2026-06-01T19:22:02.831669+00:00,1994.5,1994.6,1994.55,0.5013662229571034
Orderly,,PERP_ETH_USDC,2026-06-01T19:22:03.266586+00:00,1993.26,1993.27,1993.2649999999999,0.05016894391860042
Hyperliquid,ETH,,2026-06-01T19:23:02.956951+00:00,1994.6,1994.7,1994.65,0.5013410874095025
Orderly,,PERP_ETH_USDC,2026-06-01T19:23:03.434987+00:00,1993.25,1993.26,1993.255,0.05016919561215653
Hyperliquid,ETH,,2026-06-01T19:24:03.068210+00:00,1994.3,1994.4,1994.35,0.5014165016177523
Orderly,,PERP_ETH_USDC,2026-06-01T19:24:03.414280+00:00,1993.0,1993.01,1993.005,0.05017548877193436
Hyperliquid,ETH,,2026-06-01T19:25:03.207806+00:00,1995.1,1995.2,1995.15,0.5012154474607745
Orderly,,PERP_ETH_USDC,2026-06-01T19:25:04.506670+00:00,1993.72,1993.73,1993.725,0.05015736874439005
Hyperliquid,ETH,,2026-06-01T19:26:03.355094+00:00,1995.6,1995.7,1995.65,0.501089870468952
Orderly,,PERP_ETH_USDC,2026-06-01T19:26:03.761389+00:00,1994.35,1994.36,1994.355,0.05014152445272233
Hyperliquid,ETH,,2026-06-01T19:27:03.474002+00:00,1998.0,1998.1,1998.05,0.5004879757759269
Orderly,,PERP_ETH_USDC,2026-06-01T19:27:03.866513+00:00,1996.12,1996.13,1996.125,0.05009706306077164
Hyperliquid,ETH,,2026-06-01T19:28:03.624978+00:00,1996.8,1996.9,1996.85,0.500788742269757
Orderly,,PERP_ETH_USDC,2026-06-01T19:28:03.965700+00:00,1995.65,1995.66,1995.6550000000002,0.050108861501566675
Hyperliquid,ETH,,2026-06-01T19:29:03.775457+00:00,1998.0,1998.1,1998.05,0.5004879757759269
Orderly,,PERP_ETH_USDC,2026-06-01T19:29:04.153443+00:00,1997.02,1997.03,1997.025,0.05007448579757842
Hyperliquid,ETH,,2026-06-01T19:30:03.835608+00:00,2002.8,2002.9,2002.85,0.4992885138684196
Orderly,,PERP_ETH_USDC,2026-06-01T19:30:04.242068+00:00,2001.18,2001.19,2001.185,0.04997039254237317
Hyperliquid,ETH,,2026-06-01T19:31:03.871259+00:00,2003.4,2003.5,2003.45,0.499138985249989
Orderly,,PERP_ETH_USDC,2026-06-01T19:31:04.312525+00:00,2002.12,2002.13,2002.125,0.04994693138649325
Hyperliquid,ETH,,2026-06-01T19:32:04.020415+00:00,2002.0,2002.1,2002.05,0.4994880247741518
Orderly,,PERP_ETH_USDC,2026-06-01T19:32:04.364864+00:00,2000.66,2000.67,2000.665,0.04998338052592966
Hyperliquid,ETH,,2026-06-01T19:33:04.163295+00:00,2003.5,2003.6,2003.55,0.4991140725208208
Orderly,,PERP_ETH_USDC,2026-06-01T19:33:04.649381+00:00,2002.12,2002.13,2002.125,0.04994693138649325
Hyperliquid,ETH,,2026-06-01T19:34:04.302190+00:00,2003.5,2003.6,2003.55,0.4991140725208208
Orderly,,PERP_ETH_USDC,2026-06-01T19:34:04.695129+00:00,2002.17,2002.18,2002.1750000000002,0.04994568406853
Hyperliquid,ETH,,2026-06-01T19:35:04.355645+00:00,2002.8,2002.9,2002.85,0.4992885138684196
Orderly,,PERP_ETH_USDC,2026-06-01T19:35:04.786522+00:00,2001.49,2001.5,2001.495,0.04996265291689914
